id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage
PG28202,"Λουκιανός - Άπαντα, Τόμος Πέμπτος","Lucian, of Samosata",120.0,180.0,['el'],14.0,"{'Lucian, of Samosata -- Translations into Modern Greek'}",Text,438.94,41242.0,0.9181417002085253
PG31405,Η τρικυμία,"Shakespeare, William",1564.0,1616.0,['el'],16.0,"{'Fathers and daughters -- Drama', 'Political refugees -- Drama', 'Tragicomedy', 'Magicians -- Drama', 'Islands -- Drama', 'Shipwreck victims -- Drama', 'Spirits -- Drama'}",Text,195.19,19280.0,0.9016597510373444
PG34972,Πρώτη αγάπη,"Kondylakes, Ioannes",1861.0,1920.0,['el'],13.0,"{'Greek fiction, Modern'}",Text,275.82,27366.0,0.8974274647372652
PG39633,Μενέξενоς,Plato,-428.0,-348.0,['el'],11.0,"{'Funeral orations', 'Speeches, addresses, etc., Greek'}",Text,89.21,8239.0,0.936157300643282
PG39007,Μυστικό του Γάμου - Φάρσα της Ζωής,"Kampyses, Giannes",1872.0,1901.0,['el'],11.0,{'Drama'},Text,266.69,27636.0,0.9267621942393979
PG39600,"Ελληνική Εποποιία, Ο Εωσφόρος: [Ιωάννης Τσιμισκής]","Papantoniou, Ch.",,,['el'],9.0,"{'John I Tzimisces, Emperor of the East, 925-976'}",Text,211.61,17884.0,0.8836390069335719
PG42031,Διονυσίου Σολωμού - Άπαντα τα Ευρισκόμενα,"Solomos, Dionysios",1798.0,1857.0,['el'],39.0,"{'Greek poetry, Modern'}",Text,681.43,76303.0,0.8828486429105016
PG31723,Cecilia: A Story of Modern Rome,"Crawford, F. Marion (Francis Marion)",1854.0,1909.0,['en'],12.0,{'Rome (Italy) -- Fiction'},Text,551.94,108547.0,0.9996591338314279
PG39660,Sylvia & Michael: The later adventures of Sylvia Scarlett,"MacKenzie, Compton",1883.0,1972.0,['en'],12.0,{'Fiction'},Text,558.6,106608.0,0.9981145880234129
PG2684,Five Tales,"Galsworthy, John",1867.0,1933.0,['en'],111.0,"{'Families -- England -- Fiction', 'England -- Social life and customs -- Fiction', 'Forsyte family (Fictitious characters) -- Fiction', 'Domestic fiction, English'}",Text,462.18,92008.0,0.9967611512042431
PG8115,Authors of Greece,"Lumb, T. W. (Thomas Wallace)",,,['en'],26.0,{'Greek literature -- History and criticism'},Text,417.61,76907.0,0.9990377988999701
PG36685,National Rhymes of the Nursery,Various,,,['en'],23.0,{'Nursery rhymes'},Text,126.63,26245.0,0.9976376452657649
PG35190,Torrent of Portyngale,,,,['en'],60.0,"{'Knights and knighthood -- Poetry', 'Romances, English'}",Text,179.24,36367.0,0.9337586273269722
PG42191,"Motor Boat Boys Down the Danube; or, Four Chums Abroad","Arundel, Louis",,,['en'],7.0,"{'Motorboats -- Juvenile fiction', 'Danube River -- Juvenile fiction'}",Text,268.26,52849.0,0.9997161724914378
PG8094,Certain Noble Plays of Japan: From the manuscripts of Ernest Fenollosa,,,,['en'],27.0,{'No plays -- Translations into English'},Text,60.82,12093.0,0.9955346067973208
PG2039,Evangeline: A Tale of Acadie,"Longfellow, Henry Wadsworth",1807.0,1882.0,['en'],216.0,"{'Acadians -- Poetry', 'American poetry'}",Text,82.95,15544.0,0.9990993309315491
PG5022,State of the Union Addresses,"Pierce, Franklin",1804.0,1869.0,['en'],12.0,"{'United States -- Politics and government -- Sources', 'Presidents -- United States -- Messages'}",Text,242.2,41594.0,0.9998557484252536
PG27930,David Fleming's Forgiveness,"Robertson, Margaret M. (Margaret Murray)",1821.0,1897.0,['en'],12.0,{'Canada -- Fiction'},Text,486.72,97473.0,0.9995793706975264
PG43867,Farm Engines and How to Run Them: The Young Engineer's Guide,"Stephenson, James H.",,,['en'],103.0,"{'Farm engines', 'Tractors', 'Traction-engines'}",Text,323.93,63116.0,0.9996672792952659
PG25021,Battle of the Monkey & the Crab,Anonymous,,,['en'],41.0,"{'Folklore -- Japan', 'Fairy tales -- Japan'}",Text,2.55,496.0,0.9979838709677419
PG37910,"Homes of American Statesmen; With Anecdotical, Personal, and Descriptive Sketches",Various,,,['en'],7.0,"{'Historic buildings -- United States', 'United States -- Biography', 'Statesmen -- United States'}",Text,668.61,121297.0,0.9992580195717948
PG5858,"Personal Memoirs of P. H. Sheridan, Volume 2, Part 5","Sheridan, Philip Henry",1831.0,1888.0,['en'],1.0,"{'Generals -- United States -- Biography', 'Indians of North America -- Wars -- 1866-1895', 'United States. Army -- Biography', 'United States -- History -- Civil War, 1861-1865 -- Campaigns', 'Sheridan, Philip Henry, 1831-1888', 'United States -- History -- Civil War, 1861-1865 -- Personal narratives'}",Text,168.36,30243.0,0.9992394934364976
PG47672,"Harper's Young People, May 24, 1881: An Illustrated Weekly",Various,,,['en'],4.0,"{""Children's periodicals, American""}",Text,85.21,16770.0,0.9986881335718545
PG1321,The Waste Land,"Eliot, T. S. (Thomas Stearns)",1888.0,1965.0,['en'],996.0,"{'Prose poems', 'Poetry'}",Text,23.05,4468.0,0.9827663384064458
PG23698,Fiddles: 1909,"Smith, Francis Hopkinson",1838.0,1915.0,['en'],4.0,"{'Short stories', 'Americans -- Germany -- Fiction', 'Poachers -- Fiction'}",Text,26.1,5287.0,0.9979194250047286
PG13197,"Wear and Tear; Or, Hints for the Overworked","Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,['en'],14.0,{'Mental fatigue'},Text,78.3,14625.0,0.9997264957264957
